Physical Exchange ID,Certificate Source,Certificate Number,CUSIP,Old Security Code,New Security Code,Client Account,Currency,Share Quantity,Booked Box Account,Transfer Box Account,Certificate Negotiable Flag,Medallion Guarantee Present Flag,Power Of Attorney Required Flag,Estate Account Flag,Transfer Agent,Law Firm,Submission Method,Submission Date,Submission Deadline Met Flag,Transfer Panel Created Flag,Documents Scanned Flag,Counter Receipt Number,DTC Deposit ID,Courier Tracking Number,Cheque Received Flag,Cheque Amount,CIL Required Flag,Accrued Dividend Required Flag,JEFE Entry Required Flag,JEFE Reference ID,Reject Reason,Certificate Confiscated Flag,Returned To Branch Flag,Final Status
PHX-080001,Estate Submission,C-658408,DGZ6091DR,S347230,S559928,ACCT-851749,CAD,19144,BX-676,TBX-920,N,N,Y,N,Computershare,Bramwell Caldera,Courier,2026-03-08,Y,N,Y,RCT-509434,,TRK402852665,Y,135872.54,Y,N,Y,JEFE-672274,,Y,N,Confiscated
PHX-080002,Client Walk-In,C-685855,EKLS5ZYG2,S951288,S951288,ACCT-852338,GBP,14640,BX-199,TBX-217,N,N,Y,N,TSX Trust,Marchetti Stensgaard,Courier,2026-04-29,Y,N,Y,RCT-993446,,TRK125063721,Y,175954.44,N,N,Y,JEFE-817662,,N,N,Completed
PHX-080003,Client Walk-In,C-420483,V806WHGK4,S013464,S873587,ACCT-851169,USD,5761,BX-183,TBX-811,Y,Y,N,Y,Continental Stock Transfer,Trevelyan Underhill,CDS Envelope,2025-06-03,Y,Y,Y,RCT-920721,,,Y,143356.88,N,N,Y,JEFE-771026,,N,N,Completed
PHX-080004,Client Walk-In,C-288067,2J5ZV2ZU7,S952865,S064793,ACCT-279224,GBP,588,BX-736,TBX-672,Y,N,N,N,Equiniti,Holloway & Penhaligon LLP,Over-the-Counter,2025-09-07,Y,Y,Y,RCT-594298,,,Y,8880.6,N,Y,Y,JEFE-356252,,N,N,Awaiting Transfer Agent
PHX-080005,Reorg Department,C-779077,IOQSTII9A,S007795,S354664,ACCT-470351,CAD,10468,BX-578,TBX-823,Y,Y,N,Y,Continental Stock Transfer,,Over-the-Counter,2026-02-01,Y,Y,Y,RCT-294383,,,Y,177278.17,Y,Y,Y,JEFE-912321,,N,N,Awaiting Transfer Agent
PHX-080006,Transfer Agent Return,C-664383,ES28GW5H9,S534410,S534410,ACCT-911309,CAD,24264,BX-445,TBX-276,Y,Y,N,N,TSX Trust,Devereux Eastwick,Over-the-Counter,2025-12-07,Y,Y,Y,RCT-817619,,,N,,Y,N,Y,JEFE-302896,,N,N,Awaiting Transfer Agent
PHX-080007,Transfer Agent Return,C-412989,AULIX2Z1Y,S612955,S064073,ACCT-449138,USD,11392,BX-793,TBX-801,Y,Y,Y,N,Computershare,,CDS Envelope,2025-09-21,Y,Y,Y,RCT-334980,,,Y,10832.1,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080008,Client Walk-In,C-895433,TYPANCJY1,S978684,S833480,ACCT-100217,USD,18356,BX-120,TBX-312,Y,Y,N,N,Continental Stock Transfer,,CDS Envelope,2026-05-28,Y,Y,Y,RCT-752035,,,Y,169535.4,Y,N,Y,JEFE-292087,,N,N,In Progress
PHX-080009,Branch Submission,C-601873,ZCSCYON94,S930995,S612711,ACCT-584542,CAD,9152,BX-190,TBX-362,Y,Y,N,N,AST Trust,Marchetti Stensgaard,CDS Envelope,2025-07-30,Y,Y,Y,RCT-665719,,,Y,119093.32,N,N,Y,JEFE-540977,,N,N,Completed
PHX-080010,Branch Submission,C-545484,MY3EKSVKF,S210795,S073457,ACCT-419442,GBP,4493,BX-673,TBX-260,Y,Y,N,N,AST Trust,Trevelyan Underhill,Courier,2026-03-31,Y,Y,Y,RCT-489921,,TRK887048588,Y,120922.63,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080011,Branch Submission,C-832445,GR05JG2E3,S096519,S096519,ACCT-662797,GBP,10965,BX-430,TBX-835,Y,Y,N,N,TSX Trust,,DTC Damp,2025-06-14,Y,Y,Y,RCT-897532,DEP-5095221,,Y,165514.15,N,N,N,,,N,N,In Progress
PHX-080012,Estate Submission,C-620584,523BPBVN6,S159417,S159417,ACCT-309163,CAD,316,BX-533,TBX-359,Y,Y,N,N,Continental Stock Transfer,,DTC Damp,2025-06-02,Y,Y,Y,RCT-380096,DEP-9604633,,N,,Y,Y,Y,JEFE-402278,,N,N,Awaiting Transfer Agent
PHX-080013,Client Walk-In,C-893692,54X886WIX,S609177,S937633,ACCT-703843,USD,14838,BX-380,TBX-310,N,N,N,N,Equiniti,Devereux Eastwick,DTC Damp,2025-09-15,Y,N,Y,RCT-712553,DEP-2037248,,N,,Y,N,N,,,N,N,Completed
PHX-080014,Client Walk-In,C-738556,ZM2NGCQVP,S271586,S705499,ACCT-361385,CAD,5431,BX-194,TBX-311,Y,Y,N,N,Computershare,Holloway & Penhaligon LLP,CDS Envelope,2026-01-17,Y,Y,Y,RCT-464108,,,N,,Y,Y,Y,JEFE-337749,,N,N,Awaiting Transfer Agent
PHX-080015,Client Walk-In,C-236614,PXPZ4C5PL,S748889,S175562,ACCT-173669,GBP,9879,BX-865,TBX-477,Y,Y,N,N,Equiniti,,CDS Envelope,2025-07-22,Y,Y,Y,RCT-106999,,,Y,58939.67,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080016,Estate Submission,C-787779,EAHJJI2UH,S735362,S064073,ACCT-158516,USD,6210,BX-183,TBX-783,Y,Y,N,N,Equiniti,Devereux Eastwick,DTC Damp,2025-12-28,Y,Y,Y,RCT-975601,DEP-4250399,,N,,N,Y,Y,JEFE-657118,,N,N,Completed
PHX-080017,Transfer Agent Return,C-249554,02WA2TS4W,S017543,S017543,ACCT-745576,CAD,20690,BX-677,TBX-921,Y,Y,N,N,Continental Stock Transfer,,CDS Envelope,2026-05-17,Y,Y,Y,RCT-597213,,,N,,Y,N,N,,,N,N,In Progress
PHX-080018,Transfer Agent Return,C-848758,YSJU4S4RP,S257090,S007795,ACCT-636042,GBP,17838,BX-734,TBX-946,Y,Y,N,N,TSX Trust,Bramwell Caldera,CDS Envelope,2025-09-03,Y,Y,Y,RCT-915710,,,Y,22048.57,N,N,N,,,N,N,Completed
PHX-080019,Estate Submission,C-532181,PBSRFJ2Q6,S302522,S302522,ACCT-858319,GBP,5073,BX-646,TBX-188,Y,Y,N,N,Equiniti,,Courier,2026-05-18,Y,Y,Y,RCT-980881,,TRK849160855,Y,1074.19,N,N,Y,JEFE-394293,,N,N,In Progress
PHX-080020,Vault Inventory,C-592910,HK6W23LHW,S024028,S315860,ACCT-806483,GBP,21237,BX-263,TBX-563,Y,Y,N,N,Equiniti,Bramwell Caldera,DTC Damp,2025-07-23,Y,Y,Y,RCT-509721,DEP-8536014,,N,,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080021,Vault Inventory,C-517965,V806WHGK4,S013464,S024028,ACCT-182477,CAD,23070,BX-872,TBX-288,Y,Y,Y,N,Equiniti,Holloway & Penhaligon LLP,Over-the-Counter,2025-09-27,Y,Y,Y,RCT-479664,,,N,,N,N,Y,JEFE-860833,,N,N,Completed
PHX-080022,Estate Submission,C-139299,M9AN33RDP,S811067,S811067,ACCT-943472,CAD,2792,BX-950,TBX-774,Y,Y,N,N,Equiniti,Marchetti Stensgaard,Courier,2025-10-08,Y,Y,Y,RCT-612117,,TRK380224346,Y,137230.1,N,N,N,,,N,N,Awaiting Transfer Agent
PHX-080023,Client Walk-In,C-596002,PR4M98UVB,S068458,S068458,ACCT-515237,USD,22694,BX-275,TBX-261,Y,Y,N,N,Continental Stock Transfer,Holloway & Penhaligon LLP,CDS Envelope,2025-08-14,Y,Y,Y,RCT-250700,,,N,,N,N,N,,,N,N,In Progress
PHX-080024,Estate Submission,C-516370,G6HZMB3GD,S783354,S783354,ACCT-543952,CAD,24162,BX-802,TBX-393,N,N,N,N,TSX Trust,Trevelyan Underhill,Courier,2026-02-17,Y,N,Y,RCT-111212,,TRK910116058,N,,N,Y,N,,,N,N,Completed
PHX-080025,Branch Submission,C-270141,JXIO6L01A,S130331,S130331,ACCT-975507,GBP,815,BX-333,TBX-371,Y,Y,Y,N,Continental Stock Transfer,Marchetti Stensgaard,DTC Damp,2025-08-25,Y,Y,Y,RCT-195234,DEP-9378390,,Y,121486.43,N,N,Y,JEFE-908151,,Y,N,Confiscated
PHX-080026,Transfer Agent Return,C-636218,0I0S2SFXQ,S352499,S639716,ACCT-357504,GBP,6646,BX-771,TBX-756,Y,Y,N,N,Continental Stock Transfer,Holloway & Penhaligon LLP,CDS Envelope,2025-06-28,Y,Y,Y,RCT-469554,,,N,,N,Y,N,,,Y,N,Confiscated
PHX-080027,Client Walk-In,C-614372,K0PMUJVWY,S260312,S260312,ACCT-222607,GBP,2559,BX-194,TBX-502,Y,Y,Y,N,Equiniti,,Over-the-Counter,2026-02-25,Y,Y,Y,RCT-317090,,,N,,N,N,N,,,N,N,In Progress
PHX-080028,Client Walk-In,C-735878,COX6ZJ8ND,S735211,S735211,ACCT-217869,CAD,9469,BX-324,TBX-966,N,N,N,N,AST Trust,,Over-the-Counter,2026-01-06,Y,N,Y,RCT-997924,,,Y,15452.88,N,Y,Y,JEFE-105460,,N,N,Completed
PHX-080029,Estate Submission,C-258609,O3QRU2X83,S854237,S432700,ACCT-163054,CAD,3067,BX-146,TBX-126,Y,Y,N,N,AST Trust,,DTC Damp,2026-02-12,Y,Y,Y,RCT-753969,DEP-4739878,,N,,Y,N,N,,,N,N,Completed
